治家	12:2;23:1;7:1
所禁	28:1
所积	31:1
所称	1:1
所立	1:2;13:1;20:1;26:1;4:1
所站	27:1;29:1
所系	10:1;26:1;3:1
所纺	2:1
所缚	3:1
所罗门	19:2
所能	31:5;24:4;0:3;30:3;7:3;15:2;2:2;20:2;21:2;25:2;26:2;8:2;1:1;10:1;14:1;16:1;19:1;32:1;4:1;6:1
所能作	24:1
所能治好	24:1
所膏	1:1
所臣	2:1
所致	15:2;21:1
所花	14:1
所获	31:1
所著	0:2
所藏起	10:1
所装	2:1
所要	1:4;12:2;16:2;18:2;20:2;32:2;4:2;7:2;10:1;11:1;2:1;23:1;24:1;29:1;5:1;8:1
所见	12:2;15:2;16:2;17:2;30:2;31:2;4:2;1:1;11:1;24:1;27:1;28:1;29:1;7:1;9:1
所见所闻	11:1;12:1;17:1;9:1
所言	10:1
所订	1:1
所许	21:1
所该	17:1
所说	12:9;10:8;16:7;17:7;4:7;24:6;26:6;27:6;28:6;8:6;0:5;15:5;21:5;22:5;6:5;1:4;13:4;31:4;32:4;9:4;11:3;18:3;19:3;3:3;5:3;14:2;2:2;29:2;23:12;7:11;20:10;25:1
所请	25:1
所谓	31:5;1:2;19:2;30:2;0:1;11:1;17:1;18:1;23:1;29:1;3:1;32:1;6:1;7:1
所负	17:1;29:1;7:1
所费	19:1
所载	28:1;6:1
所过	1:1;2:1;31:1
所迫	11:1;21:1;24:1;31:1
所选	6:1
所造	23:1;27:1
所逢	28:1
所部	10:1;2:1;27:1
所长	10:1
所闻	11:1;12:1;17:1;9:1
所集	29:1
扁	18:4;3:1;31:1
扁舟	25:1
扇	18:2
扇动	31:1
扇子	5:3;31:2;1:1;19:1;21:1;26:1
扇火	14:1
扇门	16:2;1:1;29:1;5:1
扈从	1:3;10:2;20:2;14:1;27:1;31:1;9:1
手	18:9;2:9;30:9;28:8;6:8;23:7;14:6;19:6;22:6;24:6;3:6;29:51;13:4;15:4;8:4;31:31;9:3;10:26;11:2;17:19;21:17;20:16;27:16;4:15;5:15;1:13;16:13;32:13;12:12;7:12;0:10;25:10;26:10
手上	22:5;27:4;31:3;10:2;11:2;16:2;3:2;32:2;5:2;8:2;1:1;12:1;14:1;20:1;21:1;6:1;7:1
手下	17:8;10:7;16:6;20:6;25:5;19:4;21:4;28:4;26:3;30:3;11:2;13:2;23:2;24:2;27:2;8:2;31:13;1:10;12:1;18:1;22:1;29:1;3:1;32:1;4:1;9:1
手下人	31:8;17:1
手中	15:4;24:4;17:3;19:2;2:2;20:2;25:2;31:18;1:1;26:1;27:1;28:1;3:1;32:1;4:1;7:1
手为	29:1
手乱	21:1
手会	30:1
手伸	4:1
手使	7:1
手儿	19:1;27:1;3:1;31:1;5:1
手册	25:1
手刃	12:1;13:1;2:1;27:1;6:1
手到	30:1
手到病除	12:1
手势	29:4;7:2;2:1;24:1;28:1;6:1
手卷	10:1;30:1;6:1
手启	12:2
手地	9:1
手头	13:3;1:1;2:1;21:1;24:1;32:1;6:1
手套	4:5;20:4;17:31;11:3;21:3;13:2;19:2;26:2;27:15;0:1;12:1;16:1;18:1;3:1;31:1;5:1;6:1
手宰	31:2
手巾	31:6;14:2;18:1;32:1;7:1;8:1
手帕	16:5;26:45;25:3;12:2;29:2;14:1;2:1;22:1;3:1;4:1
手心	26:2;32:2;14:1;17:1;4:1
手忙脚乱	30:1
手快	5:1
手慢	18:1
手戴	1:1
手执	31:2;17:1;25:1
手扶	4:1
手把	26:2;29:2;1:1;2:1;20:1;7:1
手抚	26:1
手拿着	17:2;15:1
手持	31:4;13:2;1:1;22:1;24:1;28:1;9:1
手指	3:6;5:6;6:6;12:4;1:3;9:3;14:2;15:2;18:2;19:2;21:2;22:2;23:2;24:2;26:2;28:2;29:2;32:2;4:2;7:2;17:12;13:1;16:1;2:1;25:1;27:1;31:1
手指头	17:7;24:2;5:2;1:1;18:1;21:1;26:1;32:1
手指尖	17:1;19:1
手指甲	17:2
手指缝	15:1
手掌	10:3;16:2;17:2;2:2;4:2;6:2;1:1;13:1;21:1;28:1;31:1;32:1
手握	1:1;13:1;29:1
手握着	13:1
手携手	15:1;22:1
手摸	21:1
手教	14:1
手无寸铁	26:1
手是	21:1;3:1
手本	5:1
手术	22:1;31:1
手杖	31:2;1:1;25:1;27:1;29:1
手来	4:4;17:3;25:3;16:2;31:2;7:2;0:1;12:1;21:1;29:1
手枪	0:2;1:2;8:1
手段	2:9;26:9;12:8;27:8;22:7;3:7;7:7;10:6;30:6;20:5;4:5;6:5;0:4;32:4;8:4;19:3;23:3;31:3;18:2;21:2;24:2;1:13;29:10;11:1;14:1;15:1;16:1;17:1;25:1;28:1;5:1;9:1
手法	13:2;14:1;25:1
手浸	32:1
手牵手	18:1;25:1
手用	30:1
手疼	9:1
手盾	31:1
手种	1:1
手笔	24:2;0:1
手绢	17:1
手续	2:5;12:2;24:2;25:2;27:2;10:1;11:1;20:1
手背	32:1
手脚	1:2;19:2;5:2;6:2;11:1;13:1;18:1;22:1;24:1;25:1;26:1;28:1;3:1;30:1;31:1;32:1;9:1
手脚无措	19:1
手腕	31:5;7:3;10:2;12:1;16:1;19:1
手臂	7:6;1:4;20:4;21:4;27:4;29:4;8:4;12:3;5:3;17:2;19:2;3:2;11:1;13:1;4:1
手舞足蹈	28:2;19:1;6:1
手艺	31:4;15:2;32:2;14:1;18:1;2:1;20:1;23:1;3:1
手艺人	31:3;15:2;2:1
手衔	29:1
手谕	23:2
手足	25:2;31:2;1:1;16:1;23:1;24:1;3:1
手足之情	25:2;16:1;23:1
手足失措	3:1
手足无措	31:2
手软	22:1
手轻	4:1
手边	0:1;12:1;13:1;22:1
手里	0:9;13:8;29:8;7:8;21:7;3:7;32:7;22:6;28:6;8:6;9:6;11:4;30:4;25:3;20:21;31:21;14:2;15:2;16:2;19:2;26:18;1:17;18:17;12:16;17:14;27:14;2:13;5:13;10:12;24:12;6:12;23:1;4:1
手铐	12:1
手锯	1:1
手镯	12:8;4:1
手风	10:1
手麻	17:1
手鼓	0:4;2:1;4:1
才兼文武	18:1
才华	19:3;23:2;25:1;3:1;8:1
才华出众	19:1
才子	12:1;30:1;6:1
才学	11:2;14:1
才干	3:2;32:2;19:1;21:1;24:1;31:1
才思	1:1;19:1;24:1
才情	16:7;30:7;0:5;1:5;12:1;17:1;19:1;29:1;9:1
才智	19:2;10:1;13:1;15:1;16:1;20:1;23:1;26:1
才气	30:2;29:1
才略	10:1;27:1
才艺	7:2;8:2;1:1;12:1
才行	19:1;8:1;9:1
才许	28:1
才识	12:1;6:1
才貌	12:1;24:1;25:1
才貌双全	12:1;24:1;25:1
扎	0:6;4:2;2:1;23:1;24:1;26:1;30:1
扎下	17:1
扎得	0:1
扎成	11:1;4:1
扎根	17:1;24:1
扎眼	14:1
扎紧	17:1
扎营	25:2;17:1
扎起	11:1;17:1;23:1;27:1;30:1
扎起来	11:1;17:1;23:1;27:1
扑	26:3;5:3;12:2;17:2;1:1;14:1;18:1;31:1;32:1;9:1
扑上去	32:1
扑住	25:1
扑出	30:1
扑出来	30:1
扑杀	2:1
扑灭	5:2;17:1;24:1;25:1
扑空	9:1
扑身	17:1;32:1
扑鼻	10:1
扒	16:1;17:1;18:1;20:1
扒手	1:2;7:2;17:1;18:1;19:1;4:1
打一仗	17:4;31:1
打下	11:1;17:1;2:1;21:1;23:1;25:1;3:1;5:1;7:1
打不中	31:1
打不动	11:1;12:1
打不开	11:1
打不着	19:8
打个	1:4;31:2;0:1;14:1;17:1;19:1;22:1
打个招呼	16:1;21:1
打个比方	17:1
打中	1:1;31:1
打乱	25:1
打些	29:1
打交道	2:2;0:1;17:1;22:1;24:1;25:1
打人	17:2;21:2;1:1;14:1;20:1
打仗	17:9;31:7;21:6;10:4;1:3;2:2;23:2;0:1;12:1;14:1;24:1;3:1
打伤	1:1;13:1;31:1
打住	5:3;25:1;7:1
打倒	2:4;1:3;12:2;16:2;22:2;5:2;0:1;13:1;17:1;21:1;24:1;30:1;31:1;32:1;9:1
打出	1:2;14:1;16:1;18:1;23:1;29:1;9:1
打出手	16:1
打击	10:5;1:4;27:4;7:4;12:3;2:3;22:3;25:3;31:3;32:3;20:2;26:2;11:1;13:1;24:1;29:1;30:1;5:1;8:1
打刀	17:1
打到	26:1
打动	31:6;12:4;14:4;17:3;29:3;25:2;30:2;32:2;4:2;6:2;1:1;11:1;19:1;2:1;23:1;24:1;26:1
打劫	17:3;27:1;31:1
打印	3:1
打发	18:4;26:4;19:3;31:3;9:3;10:2;17:2;2:2;20:2;0:1;1:1;12:1;14:1;15:1;24:1;25:1;3:1;32:1;5:1;6:1;7:1
打发掉	31:1
打发走	19:3;9:2;0:1;10:1;15:1;17:1;18:1;26:1
打听	31:7;14:4;6:4;18:3;23:3;26:3;1:2;11:2;24:2;16:1;30:1;7:1
打听一下	31:2
打呵欠	2:1
打品	9:1
打哈	0:1;17:1
打哈哈	0:1;17:1
打哑谜	31:1
打坏	0:1;31:1;4:1;8:1;9:1
打垮	31:3
打够	0:1
打大	9:1
打天	2:1
打头	19:1
打头阵	19:1
打奥斯华德	20:2
打好	9:2
打官司	14:1;29:1
打定	23:1;25:1;31:1
打定主意	25:1;31:1
打寇	14:1
打小	9:3
打山	0:1
打巴	31:1
打开	31:8;12:4;2:4;17:3;19:3;21:3;13:2;24:2;25:2;28:2;5:2;6:2;8:2;0:1;1:1;11:1;15:1;18:1;20:1;22:1;27:1;3:1;4:1;7:1;9:1
打弯	17:1
打弹子	10:2;4:1
打得	17:4;31:4;10:2;1:1;18:1;19:1;21:1;25:1;28:1;30:1;32:1;6:1;7:1;9:1
打恭作揖	30:1
打成	5:2;10:1;15:1;20:1;21:1;28:1;29:1;6:1;7:1
打成一片	15:1;20:1
打才	18:1
打打	19:1
打扫	28:2;15:1;19:1;27:1;8:1
打扮	14:7;16:5;18:5;11:4;5:4;0:3;20:3;3:3;30:3;31:3;4:3;1:2;10:1;12:1;21:1;23:1;25:1;28:1;29:1;6:1
打扮起来	25:1;31:1
打扰	5:3;20:2;31:2;4:2;0:1;10:1;14:1;15:1;16:1;17:1;24:1;26:1;28:1;8:1;9:1
打抱不平	31:1
打招呼	26:2;16:1
打拱	1:1;3:1
打拱作揖	1:1;3:1
打捞	8:1
打搅	14:2;31:2;8:2;18:1;32:1
打救	0:3
打散	21:1;29:1
打断	16:5;19:3;9:3;25:2;29:2;30:2;5:2;8:2;0:1;1:1;14:1;18:1;20:1;21:1;22:1;26:1;32:1;6:1;7:1
打来	12:1;18:1
打架	0:3;16:3;4:3;26:2;5:2;1:1;12:1;17:1;18:1;19:1;20:1;21:1;24:1;29:1;30:1;7:1;8:1
打桨	14:1
打歪	12:1;21:1
打死	29:5;1:1;10:1;14:1;16:1;18:1;20:1;21:1;25:1;31:1;7:1
打比	14:2
打比恩卡	14:1
打比昂	14:1
打消	17:2;21:2;26:1;3:1;31:1
打滚	21:2;17:1;20:1;27:1;28:1;8:1
打火	21:1;32:1
打火石	21:1;32:1
打烂	9:1
打猎	29:6;12:4;13:4;14:3;19:3;31:2;0:1;1:1;20:1;22:1;25:1;4:1
打球	1:1
打痛	21:1;26:1
打盔	21:1
打着	19:2;24:2;25:2;27:2;5:2;1:1;14:1;21:1;22:1;23:1;28:1;30:1;31:1
打瞌睡	0:1;1:1;11:1;21:1
打破	1:4;5:3;12:2;18:2;21:2;31:2;0:1;14:1;17:1;24:1;27:1;3:1;30:1;7:1;9:1
打碎	1:1;12:1;14:1;20:1;23:1;32:1;5:1;9:1
打算	25:6;16:4;17:4;28:4;6:4;1:3;14:3;15:3;19:3;3:3;20:2;23:2;24:2;26:2;4:2;9:2;31:14;0:1;10:1;11:1;13:1;18:1;21:1;29:1;30:1;32:1;5:1;7:1
打算盘	19:1;21:1;6:1
打紧	10:1
打结	29:1
打网球	7:1
打罗	26:1
打肿	20:1
打胜	17:1;21:1;31:1
打胜仗	17:1;31:1
打舌头	7:1
打落	17:1;21:1
打葛鲁	14:1
打诨	0:3;28:1
打谷	31:1
打败	2:9;31:7;16:3;7:3;12:2;32:2;0:1;10:1;20:1;21:1;22:1
打赌	12:8;7:5;1:3;26:3;6:3;14:2;17:2;19:2;2:2;30:2;31:2;5:2;0:1;10:1;16:1;18:1;21:1;27:1;28:1;8:1
打赢	29:1;7:1
打起	21:2;1:1;15:1;16:1;17:1;18:1;19:1;20:1;31:1;5:1;7:1
打起精神	16:1
打趣	0:1;10:1;14:1;30:1
打躬	1:1;13:1;17:1;32:1;5:1
打躬作揖	1:1;13:1;17:1;32:1;5:1
打转	17:1;31:1;32:1
打过	17:3;31:2;7:2;10:1;18:1;20:1;21:1;25:1;4:1;5:1;9:1
打过仗	17:2;7:1
打过架	18:1;5:1
打进	1:2;9:2;27:1;28:1;29:1
打进去	9:1
打退	2:2;27:2;10:1;12:1;13:1;17:1;20:1
打通	17:1
打醒	11:1;9:1
打量	0:1
打钟	1:2;26:2;22:1
打铁	24:1;30:1;31:1
打错	31:1
打门	22:5;1:2;32:2;14:1;18:1;21:1;26:1
打门哩	22:1
打雷	16:1;20:1
打颤	17:1;20:1
打骂	14:2
打鸟	18:2
打鹿	0:1;16:1
打鼓	20:1;28:1;3:1
打鼾	1:1;28:1;6:1
扔	18:9;31:6;1:3;13:3;8:1
扔下	31:1
扔下来	31:1
扔出	24:1
扔出去	24:1
扔掉	31:3;24:1
托	17:4;31:3;13:2;3:2;0:17;21:1;26:1;28:1;8:1;9:1
托仗	12:1
托付	20:2;24:2;26:1;28:1;3:1
托付给	24:2;20:1;26:1;3:1
托住	1:1;29:1;5:1
托体	9:1
托列	24:1
托勒密	10:5
托天	31:2
托尔	17:90;1:58;18:40;27:4;31:1
托庇	27:2
托斯	10:4;32:375;12:22;17:2;7:2;2:117;13:1;16:1;29:1;31:1;6:1
托比	0:206
托福	18:4;31:1
托辞	21:1
托运	28:1
托迹	8:1
托马	1:7;17:7;25:7;23:5;31:5;24:25;27:11
托马斯	1:7;17:7;25:7;23:5;31:5;24:25;27:11
扛	21:2;18:1;31:1
扛出	17:1
扛出来	17:1
扛着	17:1
扛起	31:1
扛起来	31:1
扣	10:1;11:1;18:1;21:1;7:1
扣上	11:1;25:1
扣住	14:1;25:1
扣减	1:1
扣子	10:2;14:1;18:1;2:1;9:1
扣得	10:1
扣押	16:1
扣留	1:1;18:1;25:1;31:1
扣紧	17:1;25:1
扣起	9:1
扣针	26:2
执	22:2
执业	3:1
执事	30:2;14:1;27:1
执住	17:1
执依莎	23:1
执刑	25:1
执役	28:1
执意	16:1
执拗	21:2;1:1;3:1
执掌	15:1;27:1;8:1
执政	2:45;10:2;12:2;17:2;26:1;29:1;31:1;32:1
执政官	17:1
执杯	31:1
执法	23:6;2:3;25:2;6:2;1:1;10:1;13:1;20:1
执法者	2:1
执照	31:1
执着	10:1;13:1;22:1;6:1
执笔	8:1
执行	23:8;4:6;6:6;1:5;10:5;24:5;28:5;12:4;2:4;3:3;20:2;22:2;32:2;31:17;0:1;15:1;21:1;25:1;26:1;29:1;5:1;7:1;8:1
执行命令	25:1
执行官	31:4
执行者	10:1;28:1
执过	31:1
执迷	3:2;1:1;11:1;17:1;21:1;31:1
执迷不悟	1:1;11:1;17:1;21:1;3:1;31:1
扩充	10:1
扩大	31:2;3:1;32:1;7:1
扩展	10:1;12:1;13:1;2:1;25:1
扪心	23:1;24:1
扫	12:2;19:1;2:1;25:1;4:1
扫光	24:1
扫兴	14:2;22:2;26:2;10:1;30:1;31:1
扫净	31:2;14:1
扫出	31:1
扫出去	31:1
扫去	1:1;19:1;2:1
扫地	31:3;1:2;10:2;3:2;18:1;23:1;25:1;26:1
扫地无余	10:1
扫射	12:1
扫帚	31:2;3:1
扫帚星	3:1
扫平	31:3
扫拭	2:1
扫桑顿	17:7
扫洗	18:1
扫清	1:1;29:1;4:1;5:1;7:1;9:1
扫空	18:1;26:1
扫荡	1:2;2:2;25:1;27:1;3:1;9:1
扫除	1:2;8:2;10:1;14:1;22:1;23:1;25:1;27:1;31:1
扬	1:2;12:1;3:1
扬一扬	24:1
扬举	4:1
扬厉	23:1
扬名	27:1
扬善	21:1
扬声	31:4
扬威	31:3;15:1;17:1;27:1;32:1;5:1
扬帆	10:2;15:1;6:1;7:1
扬扬	5:2;19:1;2:1;3:1;31:1
扬扬得意	3:1;31:1;5:1
扬眉	12:1;13:1;2:1;20:1
扬眉吐气	12:1;13:1;20:1
扬着	17:2
扬蔽	13:1
扬言	30:1
扬起	10:1;17:1
扭	7:3
扭成	21:2;13:1;22:1
扭成一团	21:2;13:1;22:1
扭扭	1:1;18:1;27:1;5:1
扭扭捏捏	1:1;27:1;5:1
扭捏	1:1;19:1;27:1;5:1
扭捏作态	19:1
扭断	21:2
扭曲	20:1;21:1
扭油	18:2
扭油来	18:1
扭着	25:1;5:1
扭结	17:1
扭转	17:1;31:1
扭过	19:1
扭过去	19:1
扮	4:5;16:2;21:2;7:2;15:15;19:12;0:1;10:1;11:1;13:1;14:1;18:1;22:1;6:1
扮伊	28:1
扮作	0:1;15:1
扮做	18:3;14:2;15:2;11:1;16:1;21:1;31:1;9:1
扮出	31:1
扮好	15:1
扮得	0:1;14:1;15:1;16:1;21:1;23:1;4:1
扮戏	15:2
扮成	6:3;11:2;18:2;1:1;14:1;19:1
扮扮	18:1
扮文森	14:1
扮死	1:1
扮演	15:9;19:7;1:6;16:3;2:3;21:3;28:3;6:3;7:3;10:2;14:2;24:2;31:2;4:2;0:1;18:1;25:1;27:1;30:1;5:1;8:1
扮演着	21:2;1:1;15:1;16:1;27:1
扮演者	4:1
扮着	15:1
扮神	31:1
扮赫	19:3
扮起	11:1;16:1;25:1;31:1
扮起来	11:1;25:1;31:1
扮过	14:1
扮鬼	28:2;7:2;12:1;2:1;20:1;29:1;30:1;31:1
扮鬼脸	28:2;7:2;12:1;2:1;20:1;30:1;31:1
扯	2:3;20:3;23:3;10:1;17:1;18:1;21:1;27:1;30:1;31:1;32:1;5:1;6:1;9:1
扯下来	20:1;5:1
扯开	14:1;21:1;6:1;7:1
扯扯	18:1
扯碎	1:1;13:1;31:1
扯谎	22:5;24:2;0:1;28:1
扯起	19:1;20:1;25:1;28:1;8:1
扰	12:1
扰乱	22:6;26:4;1:3;2:3;25:3;5:3;7:3;29:2;31:2;4:2;8:2;10:1;12:1;13:1;15:1;19:1;27:1;3:1;9:1
扰乱治安	31:2;5:2;2:1;9:1
扰人	15:1
扰扰	31:1
扰攘	10:1;2:1;23:1;27:1;31:1;8:1
扳倒	31:1
扳机	17:2
扶	10:3;14:3;24:3;3:3;0:2;1:2;20:2;22:2;25:2;31:2;4:2;13:1;16:1;29:1;30:1
扶上	31:2
扶保	31:4
扶养	14:1
扶军	22:1
扶出	26:1;4:1
扶出去	26:1;4:1
扶危	8:1
扶困	1:1
扶康华尔同	20:1
扶持	31:5;25:2;24:1
扶持着	24:1;25:1;31:1
扶摇	32:1
扶摇直上	32:1
扶杖	10:1;12:1;19:1;2:1;4:1
扶植	1:1
扶病	32:1
扶立	27:1
扶蒙太诺下	26:1
扶赫米	4:1
扶起	31:1
扶进	5:1
批	31:1
批准	24:6;31:12;17:1
批判	1:2
批发	19:1
批怒	20:1
批评	11:6;30:4;10:3;7:3;2:2;20:2;0:1;1:1;21:1;23:1;3:1;32:1
批评家	21:1;7:1
扼	26:1
扼断	26:1
扼杀	25:2;21:1;31:1
扼止	1:1
扼死	21:1;25:1;26:1
扼要	17:1
找	10:9;3:8;22:7;23:7;19:6;0:5;13:4;15:3;2:3;4:3;5:23;16:21;8:2;11:17;20:17;12:16;18:16;7:16;9:16;1:15;14:15;21:15;30:14;24:13;6:13;26:12;31:11;17:10;25:10;27:10;29:10;32:10;28:1
找上门	1:1;11:1;19:1;31:1
找上门来	1:1;11:1
找不出	18:3;1:2;17:2;19:2;22:2;25:2;12:1;2:1;3:1;30:1
找个	14:6;5:3;0:2;10:2;19:2;9:2;17:1;24:1;25:1;29:1
找些	12:1;14:1;19:1;29:1;3:1;7:1;9:1
找人	26:1;27:1
找出	17:2;31:2;7:2;18:1;2:1;29:1;3:1;9:1
找到	31:9;5:8;20:7;6:7;18:6;29:6;12:5;14:5;11:4;3:4;32:4;8:4;9:4;2:3;21:3;22:3;7:3;13:2;17:2;24:2;25:2;27:2;28:2;26:12;1:11;4:11;16:10;10:1;19:1;23:1;30:1
找到啦	17:1
找品	32:1
找培	30:1
找寻	5:5;9:4;28:3;32:3;12:2;16:2;19:2;22:2;29:2;7:2;13:1;15:1;18:1;2:1;20:1;23:1;26:1;27:1
找斯丹莱	25:1
找来	32:2;1:1;30:1
找来找	32:2;30:1
找来找去	32:2;30:1
找桂嫂	18:1
找死	11:1;29:1
找点活干	3:1
找遍	16:1
找酒	24:1
找麻烦	16:1
承	13:3;19:2;24:1;4:1;8:1
承包	17:1
承受	17:3;24:2;25:2;29:1;31:1
承嗣	31:2;25:1
承当	25:2;6:1
承担	25:2;31:2;0:1;10:1;14:1;27:1;7:1
承欢	25:4;11:1;20:1
承欢膝下	11:1
承继	13:2;12:1;14:1;16:1;17:1;20:1;28:1;31:1
承罪	25:1
承蒙	31:3;30:2;13:1
承袭	27:2;1:1;28:1;31:1
承认	24:9;4:9;20:8;7:8;0:7;12:7;5:7;16:6;19:6;21:6;13:5;3:5;10:4;17:4;32:4;9:4;18:3;2:3;14:2;15:2;22:2;27:2;30:2;6:2;26:14;31:12;1:11;23:11;11:1;25:1;28:1;29:1
承运	31:1
技巧	7:2;13:1;17:1
技术	7:2;1:1;10:1;12:1;3:1;31:1;4:1
技能	27:1;7:1
技艺	16:2;25:1;4:1;8:1
抄	31:2;4:2;25:1;5:1
抄写	1:1
抄得	25:1
抉其	29:1
抉出	22:1
抉尽	29:1
抉择	21:1
把克莉	10:1
把华	1:1
把培	30:2
把头	18:3;14:1;15:1;17:1;21:1;9:1
把子	24:1
把它买	13:1;16:1
把守	1:1;10:1;12:1;17:1;18:1;20:1;29:1;32:1;7:1
把戏	4:8;31:5;21:4;0:2;1:2;15:2;18:2;2:2;24:2;25:2;26:2;28:2;10:1;19:1;20:1;23:1;30:1;5:1
把手	31:4;7:3;17:2;32:2;13:1;24:1;26:1;28:1;30:1
把握	3:3;1:2;10:2;29:2;6:2;12:1;2:1;22:1;24:1;26:1;31:1;32:1;4:1;7:1
把柄	18:1;26:1;6:1
把盏	31:1
把赛	1:1
把酒	10:1;16:1;18:1
把门	9:4;1:3;21:3;5:3;31:2;14:1;20:1;24:1;26:1;6:1;7:1
把音	4:1
抑	23:1
抑住	0:1;12:1
抑制	2:3;21:2;22:2;15:1;19:1;20:1;27:1;29:1;3:1;31:1;7:1
抑扬	19:2;0:1;1:1;7:1
抑扬顿挫	19:1;7:1
抑贤豪	12:1
抑郁	9:2;0:1;24:1;26:1;7:1
抒	12:1;31:1
抒写	19:1;7:1
抒泄	23:1
抒述	10:1;19:1
抓	23:8;1:7;21:6;31:6;18:5;7:4;17:3;3:3;30:3;9:3;0:2;14:2;16:2;26:2;27:2;29:2;11:1;13:1;22:1;25:1;5:1
抓下	29:1
抓下去	29:1
抓不住	14:1
抓伤	16:1
抓住	2:5;31:5;29:4;30:4;1:3;26:3;10:2;14:2;20:2;25:2;5:2;0:1;11:1;12:1;15:1;16:1;18:1;19:1;22:1;23:1;27:1;3:1;6:1;7:1;9:1
抓出	10:2
抓出去	10:2
抓去	1:1;16:1
抓来	23:2;29:2
抓破	15:2;30:2;10:1;2:1;20:1;21:1;25:1;27:1;4:1
抓破脸	30:1
抓破脸皮	30:1
抓紧	1:1;25:1;31:1
抓进	14:3;23:3
投	17:1;2:1;26:1;31:1;8:1
投下	2:1;8:1
投之鼎	22:1
投井	24:1
投井下石	24:1
投入	11:1;12:1;22:1;25:1;31:1;5:1;6:1;7:1
投击	31:1
投到	31:1
投向	28:1;31:1
投在	12:1;26:1;29:1
投奔	25:8;27:4;31:4;10:2;16:2;12:1;26:1
投射	12:1;16:1;19:1;21:1;27:1;3:1
投掷	10:1;12:1;21:1;9:1
投效	3:1
投水	26:7;7:2
投河	7:1
投海	8:1
投火发	22:1
投胎	18:1;26:1;8:1
投诚	27:1
投赠	15:1
投身	2:2;0:1;10:1;11:1;12:1;27:1;29:1;3:1;31:1;7:1
投进	26:1;5:1
投递	31:1
投附	2:1
投降	1:5;10:4;12:4;31:3;17:2;22:2;27:2;32:2;21:1
投靠	1:1;17:1
投鼠忌器	1:1
抖	16:2;32:1
抖擞	1:1;27:1
抖来	12:1;15:1
抗	9:1
抗不	3:1
抗争	10:1;15:1;20:1;3:1;32:1
抗命	10:1;14:1
抗拒	31:3;13:1;16:1;2:1;28:1;3:1;32:1
抗衡	10:1;2:1;27:1;3:1
抗议	2:1;26:1
折	19:1;2:1;24:1;30:1;31:1
折下	12:1;32:1
折儿	14:1
折凳	1:1;20:1;5:1
折半	4:1
折叠	11:1
折合	23:1
折回	31:1
折好	7:1
折射	31:1
折弃	1:1
折扇	14:1
折扣	1:1
折损	25:2
折断	31:4;1:2;16:2;20:2;27:2;28:2;24:1;25:1;26:1;29:1;6:1;7:1;8:1
折服	1:1;23:1
折狱	6:1
折磨	31:7;28:5;17:2;19:2;8:2;0:1;12:1;14:1;16:1;20:1;24:1;27:1;29:1;6:1;9:1
折臂	1:1
折衷	10:1;19:1;30:1;6:1
折裂	31:1
折起	12:1;22:1
折起来	12:1;22:1
抚	1:1;20:1;27:1;28:1
抚养	29:5;8:4;16:2;5:2;1:1;12:1;14:1;15:1;23:1;25:1;26:1;9:1
抚弄	0:1;31:1;5:1
抚慰	13:2;31:1;4:1;7:1
抚摩	12:2;31:2;7:1
抚摸	14:1
抚爱	1:1;27:1
抚琴	8:1
抚着	29:1;5:1
抚育	12:1;29:1
抚躬	19:1
抛	31:5;20:2;24:2;28:2;4:2;5:2;7:2;0:1;1:1;10:1;11:1;16:1;17:1;22:1;26:1
抛下	13:1;20:1;9:1
抛出	1:2;25:1;31:1
抛出去	1:2
抛到	25:1
抛向	31:2;10:1
抛开	10:1;11:1;21:1;24:1;25:1;31:1;4:1;7:1
抛弃	31:5;10:4;24:4;5:4;1:3;11:3;19:3;25:3;16:2;20:2;26:2;3:2;4:2;6:2;21:1;22:1;28:1;32:1;7:1;8:1
抛得	18:1
抛掉	24:2;17:1
抛掷	2:5;29:3;20:2;1:1;21:1;23:1;25:1;32:1;8:1
抛散	2:1
抛起	25:1;31:1
抛进	25:1
抛锚	18:1
抡	1:1;16:1;8:1
抢	31:4;9:3;18:2;4:2;5:2;1:1;11:1;17:1;2:1;25:1
抢下	1:4;27:1
抢下来	1:3;27:1
抢些	1:1
抢先	11:1;18:1;22:1
抢先一步	18:1
抢到	1:2
抢劫	31:3;1:2;17:2
抢去	1:1;4:1;9:1
抢夺	31:2;12:1;29:1
抢走	29:4
抢走了	29:2
抢过	32:1
护	11:1;25:1
护人	21:1;25:1;26:1;31:1
护佑	2:5;8:5;12:2;3:2;32:2;0:1
护卫	12:2;28:1;31:1
护国	31:43;25:4
护墙	1:1
护士	27:1
护封	17:1
护持	1:1;10:1;31:1
护林	31:17
护民官	12:6;2:40;29:28;32:1
护法	1:1;30:1
护着	31:3
护符	27:1;32:1
护胸	31:1
护身	21:2;3:1;32:1;8:1
护身符	21:1;3:1;32:1
护送	3:4;1:3;26:3;31:3;12:2;17:2;25:2;29:2;32:2;8:2;10:1;19:1;20:1;21:1;24:1;27:1;9:1
报	31:5;25:2;7:2;16:1;2:1;22:1;5:1;8:1
报个	6:1
报仇	25:3;31:29;22:2;5:2;6:2;7:2;10:1;14:1;17:1;2:1;24:1;28:1
报仇雪恨	31:2;10:1;22:1
报以	24:1
报信	22:1;23:1;29:1;6:1
报偿	21:1;29:1;5:1;6:1
报出	14:1
