猜猜	23,31
换	0,1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,25,26,27,28,29,30,31,32
换上	14,20,31
换下	2
换下来	2
换个	19,20
换儿	15
换到	1,2,12,13,29
换取	16,19,24,25,31
换句	2,21,30
换句话	2,21,30
换回	31
换姓	14
换岗	10,31
换得	2,4,15,26
换心	31
换换	26
换掉	14,31
换来	2,3,7,11,16,17,18,23,25,26,27,29,31
换牙	24
换置	15
换衣	2,4,16
换衣服	2,16
换过	1
换饭	16
换马	4
换骨	19
捣	16,18,21,24
捣乱	1,3,4,5,14,15,16,19,20,21,24,26,28,30,31
捣成	29,31
捣毁	5,13
捣烂	1
捣蛋	1,10,15,17,18,21,31
捣蛋鬼	21,31
捣鬼	7,9,21,29,31
捧	3,11,13,14,17,19,21,22,24,25,27,29,31
捧上天	18
捧住	10
捧作	16
捧场	7
捧腹	0,1,7,26
捧腹大笑	0,1,26
捩	16
据为己有	12,24
据字	0
据守	17
据我所知	4,13,21,25,31
据报	25
据理	23
据理力争	23
据说	0,1,2,3,4,5,6,7,10,11,12,13,15,16,17,20,21,22,24,25,26,27,28,31
据闻	2
捱	5
捶	7,9,10,13,18,21,25,28
捶心	10
捶打	24,29
捶胸	19
捶胸顿足	19
捷径	21,22
捷报	1,17,31
捷格	0
捷足	14,27
捷足先登	14
捷音	26
捺	3
捻	10,31
掀	13,19,20,21,27
掀下	19
掀动	21,26
掀开	0
掀江	31
掀翻	2,27,31
掀起	7,10,20,28,29,31
掂	31
掇去	2
掇拾	32
掇来	2
掇椅	2
授	8,15,19,20,28
授与	31
授人	3
授受	12
授命	31
授国	20
授安哲鲁	23
授意	20,23
授权	2,24,31
授比恩卡	26
授汝以	12
授爱斯卡	23
授纳森	19
授给	15,23,31
授考	19
授赏	6
授赠	6
授阿埃	12
授首	6,23,31
掉	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,26,27,28,29,31,32
掉下来	0,1,3,7,8,10,12,14,17,24
掉头	3,5,13,31
掉头就跑	3
掉换	8,15,29
掉泪	5,7,28
掉落	17
掉转	9,10,12,14,31
掉转头	10,31
掉队	17
掌	15,24,31
掌上	7,31
掌上明珠	7,31
掌声	17
掌心	5
掌扇	10
掌拒	1
掌握	0,2,6,10,12,13,17,20,22,23,25,31
掌握权力	2
掌政	25
掌旗	25
掌柜	1,14,20,26
掌柜的	1
掌灯	5
掌玺	24
掌珠	7
掌着	10
掌管	4,15,17,19,20,27
掌纹	6
掌舵	8,31
掌舵人	31
掌起	24
掏	1,3,4,24,31
掏出	16,26,28,31,32
掏空	1,3,4,13,17,23
掏粪	8
掏过	1
掐	28,31
掐住	7
掐死	18,31
排	1,3,25
排列	13,17,25
排场	17,24,25
排头	24
排干	31
排开	25
排弃	22
排挤	1,2,20,31
排挤掉	31
排斥	28,30
排泄	18,22
排着	18
排练	15
排解	5,7,8,20
排起	16
排遣	12,21,27,30,31
排队	10
排阵	1
排除	5,22,24
排难解忧	31
排难解纷	18
排齐	1
掘	1,4,7,8,12,13,17,20,29,31
掘出	1,11,28
掘出来	1,11
掘土	25
掘墓	5,7
掘开	5
掘成	27
掘起	24,31
掠	28
掠刻	28
掠夺	1,2,7,8,12,25,31
掠爱	13
掠过	29
探	1,5,12,21,22,26
探一探	32
探出	7,8,27,28,29
探到	1,2,8,12,13
探听	1,2,5,7,8,10,12,17,21,27,29
探听出	5,7
探听到	1,7,12,27
探奇	8
探子	1,2,17,18,19,20,31
探察	8,20,22
探寻	12
探探	18,20,32
探明	20
探望	1,5,8,12,21,24,25,27,28
探查	12
探求	12,20
探测	12
探照	27
探看	26
探知	25
探究	29
探究出	29
探索	5,16
探视	7,25,28
探讨	19
探访	16
探询	7,9,12,22,25
探针	12
探问	1,4,5,7,8,18,19,20,23,28
探险	11
掣	20
接	1,4,8,9,11,14,15,18,21,23,25,26,30,32
接上	4,5,16,19,31
接上去	4,19
接下	3,7,11,15,19,22,31
接下去	7,15,19,22,31
接下来	11
接不上	1
接二连三	3,24
接任	24
接位	24
接住	6,21
接到	1,3,6,7,8,11,17,18,20,22,23,24,25,26,31,32
接受	0,1,2,3,4,5,6,7,8,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32
接受下来	19,25,27
接受命令	31
接口	28
接合	1,12
接吻	0,1,4,5,11,13,14,16,17,19,21,24,25,26,31
接回	31
接回来	31
接在	11
接应	2,25,26,31
接引	5,18,21,27
接待	0,4,6,11,12,13,24,25,31,32
接待室	11,13
接得	17
接战	1,12,19
接收	26
接替	26
接洽	0,1,19,23,29,31
接济	27
接物	25
接生	1,31
接生婆	1,31
接种	16,17
接管	6,18,31
接纳	0,3,7,11,25,27
接见	0,1,4,7,10,17
接触	1,2,3,5,8,12,13,14,16,17,19,20,24,25,27,30,32
接读	31
接谈	25
接起	4,20
接踵	1,6,7,8,20,22,24,28
接踵而来	7,8,20,28
接踵而至	1,6,7,22
接过	24,25
接近	1,12,20,24,25,27,30,31
接连	1,5,6,7,8,10,27,29,30
接连不断	10,27
接驾	25
控制	2,5,9,10,12,14,17,20,21,22,23,24,27,28,29,31
控制不了	24
控告	1,2,7,9,23,24,25,31
控尔以	4
控诉	1,3,4,6,9,12,15,20,21,23,24,25,26,27,30,31
推	1,2,3,4,8,13,18,22,23,29,31
推三托	13,17
推三阻四	5,31
推上	1
推下	1,2,8,18
推下去	1
推下来	18
推不动	15
推不翻	31
推为	2
推举	7,8,22,29
推事	24
推倒	2,7,8,10,27,29
推先	22
推出	4,5,8,20,31
推到	16,24,28
推动	7,24
推却	6,19
推后	25
推咬弗动	23
推在	2,13,22
推它	24
推小安	9
推崇	8,24
推崇备至	8
推己及人	23
推开	2,5,7,8,12,24,30
推心置腹	3,15
推想	4,7,10,26,30
推戴	7,11,29
推托	0,6,8,10,11,13,20,21,23,31
推托之词	11,31
推拒	21
推拥勃	25
推推	8,17,21
推敲	6,7,17,19,25,30,31
推波助澜	1
推测	1,2,3,5,7,8,12,13,14,22,29
推理	0
推磨	9,31
推移	24
推究	7,12,23,25
推算	25
推翻	1,2,4,6,7,8,10,17,18,19,22,26,27,29,30,31,32
推考	4
推荐	3,10,31
推荐信	3
推落	32
推行	2,17,23
推让	8,25
推论	21
推诚	3
推说	25,26
推诿	20,31
推辞	8,19,24,25,26
推过	17
推进	1,25,31
掩	1,3,4,6,7,10,30
掩不住	1
掩埋	7,12,20,21,27,29
掩庇	20
掩护	8,10,18,31
掩旗息鼓	14
掩没	12
掩泣	19
掩盖	1,2,3,5,8,10,11,17,21,23,24,25,30,31
掩盖住	10,11
掩盖真相	23
掩盖着	5
掩罩	10
掩耳	2,14,23
掩蔽	8,13,17,20,21,28,31
掩藏	0,5,7,17,31
掩藏着	0
掩袭	28
掩覆	12
掩覆着	8,32
掩覆过	12
掩过	5
掩闭	19
掩面	7
掩饰	1,5,6,7,12,20,21,23,25,27,28,29,30,31,32
掩鼻	4,8,10,26
掩鼻而过	10,26
措大	4
措手	5
措手不及	5
措施	24,25,31
措置	1,13,27,31
措置失当	31
措词	31
措辞	11,18
掬	10,26,27,32
掮	1,10,21,31
掮客	31
掮开	21
掮进	2
掳	14,17,21
掳夺	2
掳掠	17
掷	1,2,5,7,10,11,12,13,14,17,19,20,25,27,29,31
掷骰子	0,17,19,20
掺	21
掺入	21
掺和	2
掺杂	2
掺水	2,20
掺满	0
揄	1,12
揆	4
揉	21
揉合	27
揉成	21
揍	0,1,3,4,11,14,17,18,24,28,31
描	26
描一描	26
描下	19,26
描写	0,2,4,7,12,13,22,29
描出	19
描成	4,12,15
描摹	4,8,13,14,16
描淡写	6,7,20,26
描画	6,10
描着	15
描绘	17,22,31
描绘出	22
描绘出来	22
描述	31
提	1,3,4,5,7,10,13,14,17,18,20,24,25,26,29,31
提一提	17
提不	1,7,11,20,27,29
提不起	1,7,11,20,27,29
提不起来	7
提了	19
提交	24,29
提亲	31
提伯	5
提佛里	14
提供	24
提克洛顿	12
提出	0,1,2,3,4,5,6,7,8,10,12,17,19,21,23,24,25,26,27,29,30,31,32
提出抗议	2
提到	6,7,11,15,17,18,24,25,27,29,31
提前	11,31
提力斯	2
提升	20,24
提及	25
提取	31
提哥	4
提壶	1
提头	17
提律斯	13,32
提得	7,15,31
提心	6,12,20,21,30
提心吊胆	6,12,20,21,30
提拔	2,3,4,8,12,24,25,31
提拿	25
提携	25
提斯	4,7,10,14
 	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
此数	1,28
此方	31
此时此刻	21
此时此地	25,26
此景	16,28
此来	1,17,24,25,27
此案	6
此理	0,3,4,13,14,18,20,23,26,31
此生	3,13,16,23,25,26
此番	17,31
此种	25
此策	24
此类	0,1,6,7,14,15,18,19,26,29
此行	3,4,12,20,23
此言	12
此论	19
此诗	19
此路	0
此路不通	0
此道	1,8
步	1,17
步伐	1,7,8,14,17,18,24,25,27
步像	22
步入	28
步兵	1,3,10,22,25,27,31
步外	18
步子	16
步履	13,28
步态	1,7,14,21
步步	3,7,10,11,20,28,31,32
步步高	31
步步高升	31
步法	16
步田地	7
步行	1,2,4,21,24,29,32
步道	32
步骤	3,17,20,32
武	17
武人	1,13
武住	16
武力	1,5,7,12,13,18,20,21,26,27,29,30,31
武功	15,17,31
武器	1,2,5,6,7,8,10,11,12,14,16,17,18,19,20,21,26,27,28,29,30,31,32
武器库	14,21
武场	8,31
武士	21,27
武大	8,18,21,28
武夫	10
武库	29
武戏	1
武断	2,3,13,19,26,31
武曲星	3
武来	17,20,26
武艺	0,1,3,4,7,8,18,19,21,25,31
武艺超群	1
武行	25
武装	1,2,7,8,10,12,17,19,20,21,22,25,27,29,30,31
武讨	17
歧视	20
歧途	1,7,8,27,31,32
歪	10,16,21
歪头	30
歪斜	21
歪曲	3,13,17,24,30
歪论	2
歪诗	16,26,30,32
歪转	14
歹	3
歹人	25
歹徒	17,25
歹意	31
死	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
死上	7
死不了	0,25
死不瞑目	5,31
死不要脸	18
死不足惜	23
死丫头	5,8
死了心	0,6,15,18
死于	1,3,5,12,19,20,22,25,27,31
死于非命	1,3,5,12,19,20,22,25,27,31
死亡	0,1,2,3,4,5,7,8,9,10,11,12,15,17,19,20,21,22,23,24,25,26,27,28,29,31,32
死人	1,4,5,6,9,12,22,31,32
死人山	18
死伤	21
死光	5
死刑	1,2,3,4,5,9,10,13,15,17,20,22,23,25,26,27,29,31,32
死刑犯	2
死别	15,31,32
死力	1,12,29
死去	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
死去活来	5,18,28
死后	2,3,5,6,7,16,18,24,26,31,32
死命	1,2,5,8,10,11,12,22,23,25,26,27,31
死哩	0,23
死囚	17
死因	31
死地	3,6,17,22,30,31
死守	31
死守阵地	31
死定	17
死定了	25
死对头	25,31
死就死	16
死尸	1
死得	1,4,5,10,13,17,20,29,31,32
死心	10,12,26,30
死心塌地	10,12,26,30
死成	25
死战	31
死播	30
死敌	2,31
死无葬身之地	10,24
死时	25,31
死有余辜	25,27,29
死期	31,32
死样	7
死死	3,5,17
死死地	17
死水	20
死法	4,10,17,26,32
死活	4,5,10,11,16,20,28,29,30
死灰	1,8,12,22,31
死灰复燃	31
死状	7,28
死狗	7
死生	2,7,21,22,23
死的死	12,21
死神	0,1,2,3,5,7,8,10,12,16,17,23,25,27,31
死罪	0,2,4,5,6,9,13,17,20,23,25,29,31,32
死者	1,3,7,8,10,12,17,22,25,29,31
死而后已	31
死而复活	12,22,29
死而复生	4,8,12,31
死而无怨	3,6,9,31
死耗	31
死讯	1,3,5,10,20,21,22
死说活说	14
死路	17,25
死路一条	25
死过	32
死道间	22
死里求生	30
死鬼	1,12,14,29,31
歼暴	25
歼灭	17,25,27,29
殁	13
殂	31
殃	17
殃及	25
殃民	27
殆	12
殆于	19
殆半	17
殆尽	25
殆无生	6
殉	32
殉国	29
殉情	0,16
殉教	24
殉教者	24
殉葬	5
殉身	1
殉难	31
殊不知	25
殊宠	4
殊恩	5
殊死	22,27
残	15,22,31
残余	8,13,21,29,32
残冬	5
残句	25
残叶	3,25
残喘	1,8,20,23,25,27,31
残墟	27
残害	6,17,23,25,29
残宵	5
残寒	1
残局	1,25
残席	24
残年	3,5,17,31
残废	0,11,25,26,27,29,31
残形	25
残忍	4,5,6,7,15,20,22,24,26,27,29,32
残春	1,9
残暴	1,5,6,10,17,20,22,23,24,26,27,29,31,32
残月	15
残杀	7,12,21,25,26,27,31,32
残沥	1
残烛	27
残烬	25
残焰	30
残生	3,5,9,10,12,15,27,29,31
残留	27,29
残疾	26
残破	10,12,19,24,25,27
残穗	16
残红	15
残缺	9,12,19,25,26,31
残缺不全	25,26,31
残羹	2,7,10,12,14,20,25
残羹冷炙	7,10,12
残脂	9
残花	10,29
残虐	6,10
残资	12
残躯	29
残辉	3
残迹	12,20,21
残部	27
残酷	0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,20,21,22,23,24,25,26,27,28,29,31,32
残酷无情	9,31
残阳	9
残雨	19
残香消	10
残骸	6,24
残魂	13
殒	32
殒命	1,22
殒灭	5,25
殒落	7,10,32
殓	0,4,5,7,8,19,26
殛	10,20,31,32
殡宫	15
殡礼	5
殡舍	22
殡葬	7,32
殴打	0,1,2,7,10,20,23,26
殴辱	10,27
段	1,5,15,24,26
段时间	7,12,13,22,24,31,32
段落	0,1,3,9,10,12,18,22
殷	22
殷佛	22
殷佛纳斯	22
殷切	25,31
殷切期望	25
殷勤	0,1,2,3,4,6,7,8,9,10,12,13,15,16,19,20,21,22,23,25,26,27,28,29
殷红	1,5,7,17,22,29,31,32
殿	8,20
殿下	0,1,3,4,5,6,7,8,9,11,12,15,16,17,19,20,21,22,23,25,26,27,29,30,31
殿后	26
殿堂	6,9,11,12,16,28,29
殿宇	30
殿阁	31
殿队	30
毁	0,1,3,4,6,10,12,15,16,17,19,22,24,25,26,29,31
毁于	10
毁于一旦	10
毁伤	26
毁信	8
毁坏	1,10,12,16,17,20,22,26,27,30,31,32
毁害	6,7
毁弃	1,10,11,15,19,20,27,29,31
毁损	2,5,8,12,18,25,27,28
毁掉	0,2,29,31
毁灭	1,2,3,4,6,7,8,10,12,13,15,16,17,20,21,22,24,25,26,27,29,31,32
毁灭性	24
毁约	23
毁荡	13
毁誉	7,10
毁誓	1,3,6,16,19
毁谤	1,5,6,23,25,26,30,31,32
毁除	22
毅力	1,6,10,12,21
毅勇	4
毅然	2,5,23
毋	6,30
毋多言	19
毋相	13
毋违	23
母	12,14,16,29,31
母之责	25
母亲	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
母仪天	31
母仪天下	31
母体	27
母兽	2
母后	4,7,12,22,25,29
母夜叉	4,9,14,30
母子	3,7,12,25,31
母子之情	25
母弟	9
母所生	25
母族	25
母熊	6,20,29
母牛	1,4,10,24,28,29,30,31
母狗	1,4,13,14,24
母狮	15,16,29,32
母狼	31
母猪	1,17,22,29
母系	17,31
母羊	1,6,16,26,30,31
母者	25
母耳中	3
母肉	8
母胎	1,27
母腹	12
母血食	8
母音	19
母马	1,19
母鸡	1,2,3,14,18,30
母鸽	7
母鹰	31
母鹿	7,16,18,21,29
每一	8,10,12,19,25
每一件	0,3,4,16,20,26
每一分	21,23
每一处	3,6,13,16,21,27,28,32
每一字	3
每个	0,1,3,4,5,8,15,16,17,18,19,20,21,24,25,26,28,30,31
每人	3,6,9,13,17,19,23,25,31
每击	2
每分钟	16,22,31
每到	10,20
每刺	28
每刻	2,3,8,28,29
每发	5,7
每周	31
每块	31
每夜	0,3,5,7,15,18,22
每天	0,1,2,4,5,7,9,10,11,12,13,14,16,17,19,21,22,23,24,26,27,28,29,30,31,32
每天晚上	2,5,11,21
每年	8,9,12,14,17,24,27,28
每张	1
每日	12,24
每时	2,3,8,28,29
每时每刻	2,3,8,28,29
每星期	1,19
每晚	1
每条	25,31
每株	16
每棵	24
每次	1,2,3,4,6,7,9,10,12,15,23,26,27,30
每行	16
每逢	17,23,31
每郡	31
每项	4
毒	0,1,4,7,10,12,13,17,22,25,26,31
毒光射	7
毒刑	1
毒刺	20,31,32
毒剂	7,26
毒剑	7
毒害	2,7,12,15,22,27,29
毒心	5,15,20,28
毒性	7
毒手	1,2,10,12,13,16,20,21,22,25,26,27,28,29,31,32
毒杀	12
毒死	1,3,4,5,7,8,12,16,18,20,29
毒气	1,7,13,17,30
毒氛	4,5
毒汁	26
毒液	5,8,10,22,25,27,31
毒焰	31
毒牙	20,22
毒物	10,13,15
毒疮	2,7,21
毒瘴	27
毒眼	25
毒箭	7,20
毒素	13,31
毒肝	22
毒胀	25
毒舌	12,15,29
毒芹	20,22
毒草	5,7
毒药	0,1,3,5,6,7,8,10,12,13,16,17,18,20,22,24,26,27,28,29,30,31
毒虫	13,20,25
毒蛇	1,2,5,6,7,8,10,12,15,17,20,21,22,26,27,28,29,30,31
毒蛇猛兽	27
毒蛛布	25
毒血	25
毒衣	6,10
毒计	2,4,8,10,25
毒辣	17,25,31
毒酒	7,8
毒雾	10,12,15,22
毒露	28
毒饵	23
毒骂	15,25
毒麦	17
毒齿	20
毒龙	5,12
比一	17
比一比	24,31
比上	3,18,25
比下	18,25
比不上	1,2,3,5,12,13,15,16,19,20,21,23,25,26,27,29,31
比东	24
比个	0,9
比个高下	26
比为	20,24,30
比之待	0
比之真	0
比乔	16
比亚	0,4,7,10,16,17,21,30
比作	20,31
比做	31
比克	10
比利	9,16,31
比利时	9,31
比前	12,32
比剑	6,7,31
比向	10
比善妒	21
比喻	1,3,7,8,19,26
比外	25
比头	19
比奥	14
比如说	24
比安哲鲁	23
比宫	25
比尔	17
比巴道	1
比当	12
比待	0
比得	0,1,3,4,5,6,10,14,16,17,21,23,25,29,30,31
比得上	0,1,3,4,5,6,10,14,16,17,21,23,25,29,30,31
比得过	0
比德	11,18
比恩卡	14,26
比恩卡下	14
比恩卡及	14
比恩卡者	14
比我强	1,17,21
比戴壳	19
比托	2
比拟	16,21,24
比斗	31
比方说	7
比昂	14
比未进	2
比枪	31
比正言	7
比武	1,6,8,21,24,27,31
比武场	8,31
比死	5,10,29,31,32
比死别	31
比活	30
比海司	25
比照	31
比狼	9
比率	3
比用	32
比由堡	25
比盐	11
比磨	0
比缚	29
比翼	4
比翼双飞	4
比臭	20
比菲罗墨	29
比萨	14,31
比蛇	31
比赛	1,2,6,7,8,10,18
比起	1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,28,29,30,31
比较	1,3,5,6,7,8,10,12,15,16,18,19,20,21,22,25,26,27,28,31,32
比醉	16
比重	18,25
比锁	7
比震雷	8
比霍坦	14
比风	15
比鲁	29
比龙翼	31
毕	1,17,18
毕卡	17,31
毕命	15,27
毕契	8
毕生	12,17,27,31
毕竟	3,4,10,12,13,17,18,26,31
毕色尔	1
毕萨	12
毕达哥	0,6,16
毕达哥拉斯	0,6,16
毕集	16
毕露	3
毙	27,31
毙命	22
毛	1,3,4,6,9,15,16,17,18,20,27,28
毛儿	28
毛发	0,6,7,9,17,22,31
毛发悚然	22
毛呢	21
毛哩	1
毛头	1
毛头小子	1
毛子	19
毛孩	7,31
毛孩子	7,31
毛将焉附	31
毛巾	1
毛得	15
毛毛	30
毛毛雨	30
毛毯	30
毛犬	22
毛畜	6,16
毛病	0,3,4,7,9,11,12,14,16,18,19,22,23,26,30,31,32
毛皮	4,20
毛笔	0
毛织	28
毛织品	28
毛绒	1,4,20
毛色	15
毛茛	7
毛茸茸	1,9,15,31
毛虫	1,2,31
毛里	26
毛里塔尼亚	26
毛钱	2,3,13
毛顿	1,25
毛骨悚然	13,24,25,31
毡	12,14,30
毡呢	20
毡巾	7
毡布	2,20
毡帽	7
毡毯	20
毡般	19
毫	16,23
毫不	0,2,3,5,8,10,12,13,17,21,23,24,25,26,27,29,31,32
毫不介意	23,26,31
毫不关心	23
毫不含糊	17,32
毫不在乎	32
毫不在意	3
毫不犹豫	24
毫不留情	17,31
毫不相干	10
毫不迟疑	2,5,12,23,24
毫厘	1
毫发	30
毫发不爽	30
毫无	0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
毫无价值	15,21
毫无保留	17,24
毫无准备	23
毫无办法	3
毫无希望	0,1,3,31
毫无忌惮	12,18
毫无把握	1,10
毫无根据	4
毫无用处	2,8,11,30,31,32
毫无疑问	0,1,4,8,17,18,19,24,30,31
毫无结果	0,8,29
毫无逊色	6
毫无顾忌	17,24,25
毫无顾虑	23,24
毫毛	31
毯子	1,12
毵	7
民	17,23
民不聊生	2,31
民事	13
民众	1,2,7,8,10,13,22,23,24,26,27,29,32
民兵	3
民安	25,31
民心	2,29,31
民族	1,6,9,12,17,19,29,31
民族英雄	19
民歌	17
民生	13
民百	17
民财	10
民间	1,10,17,31
民间传说	31
民食	25
气	1,2,3,4,5,6,7,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25,26,28,29,30,31,32
气不壮	31
气不过	13,14
气候	4,17,20,26,27,28
气候宜人	4,26
气冲	12,24,31,32
气冲冲	12,24,31,32
气出	6
气力	0,1,5,6,8,11,16,17,20,21,22,23,24,30,31
气势	9,18,20,24,31
气势凌人	31
气势汹汹	9,18,20,24,31
气吞	10
气味	2,3,5,7,11,12,17,18,23,28,29
气哩	13
气喘	1,8,12,15,20
气喘吁吁	1,8,12,15,20
气坏	12,14,17,30
气壮	29
气宇	31
气宇轩昂	31
气度	0,31
气弱	27
气得	2,5,11,12,15,19,21,24,26,29,30
气忿	31
气恨	18
气息	0,1,2,4,5,6,8,9,10,12,13,14,15,16,17,19,20,24,26,27,29,30,31,32
气恼	2,7,11,14,15,16,20,26
气愤	1,2,9,10,12,13,19,20,23,25,26,27,29,30,31
气愤填膺	31
气数	6,22
气断	22
气昂	16,31
气昂昂	16,31
气昏	13,20,21
气来	1,7,9,21,26,28
气概	1,2,3,6,10,12,17,19,20,21,22,26,30,31,32
气死	3,12,13,18,30
气死我	3,12,18
气死我了	12
气气	0,5,14,16,18,29,30,31
气氛	22,23
气泡	1
气派	3,6,17,18,31
气流	3,8,20
气焰	21,22,31
气疯	1,5,9,13,20
气盛	1,11,23,27
气相	3
气短	10,17
气破	13,14,18,32
气粗	31
气绝	25
气色	18
气节	2,21
气话	1
气象	2,5
气质	0,1,7,12,26
气起	30
气量	10
气闷	1
气馁	5,21,22,27,31
气鬼	26
气魄	17
氤氲	1,21
水	1,3,4,6,7,9,10,12,13,14,15,17,18,19,20,21,22,24,25,26,27,28,29,30,31
水上	0,6,7,8,10,22,24
水中	7,11,16,19,25,28,29
水仙	4,28
水仙花	4
水会	21
水位	10
水兵	10
水分	21
水势	17,31
水向	9
水和土	17
水喝	32
水壶	14,20,30
水孔	32
水底	4,8,15
水彩	1
水彩颜料	1
水忒满	31
水性	10,14
水性杨花	10,14
水手	0,1,4,6,7,8,9,12,13,17,21,22,25,26,28,31
水手长	28
水族	8
水星	4
水是	8,28
水晶	1,5,11,12,15,17,19
水晶球	17
水来	14,22,28
水果	1
水桶	31
水池	12,28,29,32
水汪汪	18
水汽	13
水沟	1,2,4,31
水没到	28
水河	18,28
水泄	31
水泄不通	31
水泡	5,7
水波	10,28
水流	1,2,7,16,32
水浅	18
水浸	7
水滩	4,15
水漏	28
水火	8,27
水獭	1
水珠	20,21
水瓶	19
水疱	5,13,28
水盆	12
水管	5
水罐	25,26
水肿	1,28
水花	19,31
水草	2
水落	3
水落石出	3
水蛇	2,17
水蝇	10
水边	8
水道	1,20
水里	1,3,6,7,10,16,18,26,28,31
水里去	18
水里游	28
水量	0
水银	1,7
水门	1
水面	1,4,10,18,21,28,31
水鸟	31
永	0,7,15,19,22,26,31
永不	0,3,4,6,7,8,9,13,15,17,20,21,23,24,26,29,30,31
永不变心	17
永不磨灭	31
永世	24
永为	12
永久	0,1,3,4,5,7,10,11,12,13,15,16,17,20,22,23,25,28,29,31
永享	15,25,29,31
永作	3
永别	3,6,7,10,16,26,27,28,29,30,31,32
永劫	4,7,24,25,28,32
永受	2,8,22
永古不移	26
永古炳耀	26
永固	11
永垂	19,23,31
永垂不朽	29
永垂于	31
永垂青史	31
永好	22
永委	5
永存	23
永年	31
永康	3
永志	12,24
永志不忘	12,24
永恒	7,9,21,23,24,31
永息	11
永感	3
永无	2,3,5,11,15,17,18,27,31
永无休止	2,5,17
永昼	10
永燃	8
永生	1,2,5,6,7,8,10,12,13,17,21,22,23,26,29,31,32
永留	12
永矢	2,12,31
永系	16
永绝	4
永缔	21
永蔽	25
永袭	22
永诀	32
永负	12
永辞	20,23
永远	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
永遭	8
永陷	7
永驻	1,11
汁	7,10,15,19
汁液	10,15,24
求	0,1,2,3,5,6,7,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,27,28,29,30,31,32
求之不得	4,7,11,18,22
求乞	2,14,16,20
求些	29
求人	27
求全	20
求凰	8
求出	7
求到	20
求助	2,6,7,8,24,28
求助于	24
求匹	19
求取	1,25
求名	12
求名求利	12
求告	1,6,9,13,14,25,27,29,30
求命	1
求和	17,22,27,31
求婚	0,2,3,5,6,8,11,12,14,15,16,18,19,20,25,26,27,30,31
求婚者	6,8,12,14,30
求学	7,19,32
求得	0,2,24,30,31
求恕	2,4,27,29,31
求恩	2,20
求情	0,2,5,11,15,17,18,20,23,25,29,31
求成	11
求援	1,29,31
求救	5,8,17,23,24,31
求教	5
求欢	9,23
求求	0,1,2,5,7,10,12,14,16,17,19,20,21,23,26,28,29,31,32
求爱	0,3,4,5,7,8,11,12,14,15,16,17,18,19,20,21,25,26,29,30,31
求爱者	16
求生	4,25,30
求生存	25
求神	18,29
求神问卜	18
求荣	22
求葬	32
求见	4,7,13,23,25
求讨	2,6,11
求诉	25
求起	18
求过	5,30
求迹	7
求食	13
求饶	14,25,31
汇合	1
汇聚	17
汉	5,15,21,29
汉堡	31
汉子	0,1,2,3,4,5,7,8,10,11,12,14,15,16,17,18,19,20,21,22,23,26,27,28,29,30,31,32
汉尼拔	1,19,31
汗	1,2,6,7,8,12,16,18,24,25
汗下	24
汗出	22
汗垢	9
汗毛	6
汗水	17,18
汗流	1,20,21
汗流浃背	21
汗流满面	20
汗珠	1,25
汗脂	22
汗臭	7,10,32
汗马	2,24,25
汗马之劳	25
汗马功劳	2,24
汝	3
汝手	31
江山	17,25,28,31
江河	21
江流	7
江湖	1,2,3,7,9,14,26
江湖医生	2
江湖术士	3,9
江湖骗子	1,26
池	31
池子	4,12
池水	29
池沼	10,14,31
池里	1,10,28
污	13,32
污了	30
污名	4,7,10,18,20,26,30,31
污垢	15,26
污损	7,21,23,25
污旧	1,30
污毁	12,21,23,26,27,29
污水	10,28,31
污水池	28
污水沟	31
污池	26
污泥	7,9,10,12,20,29,30
污浊	1,2,7,10,23,27,31
污渍	1,25
污渎	5,11
污点	1,4,6,7,9,10,12,17,19,20,21,22,24,25,26,27,29,31
污痕	31
污秽	0,1,2,5,7,9,12,18,19,20,21,24,26,29,30,31
污臭	12,32
污蔑	12,25,32
污衣	18
污辱	2,3,7,9,10,13,21,23,25,26,31
污迹	1,17,28
污邪	8
污面	1
汤	13,17,22,24,31
汤匙	2
汤壶	17
汤多	24
汤姆	1,15,19,20,31
汤火	20
汤碗	14
汩汩	11,31,32
汩没	11,12,19,21,32
汪	28
